57.26,51.34,51.16,45.55,45.23,41.87
61.28,55.31,51.36,48.47,49.03,48.50
66.48,60.05,54.98,47.10,45.52,42.19
55.62,51.28,49.58,45.45,44.26,42.20
57.87,54.20,49.54,46.77,45.73,42.42
57.26,53.63,53.13,52.10,46.34,42.52
56.47,52.15,47.74,45.56,43.44,42.63
56.57,50.68,47.85,45.89,45.21,42.80
71.33,67.10,65.64,55.29,49.27,42.87
56.84,52.17,49.29,46.88,45.15,42.93
58.37,57.28,53.08,49.47,46.95,43.05
63.04,58.36,53.49,49.35,46.80,43.27
63.22,57.76,53.93,50.46,48.09,43.29
58.26,56.49,52.75,47.52,44.92,43.34
66.66,59.29,52.54,48.36,45.77,43.59
60.53,59.04,52.40,49.21,45.53,43.63
58.45,56.11,48.94,46.49,45.80,43.76
59.38,57.57,54.65,49.82,47.18,43.79
62.10,57.52,53.02,50.71,49.34,43.80
66.81,58.28,56.12,50.69,47.12,43.82
60.29,55.90,52.64,49.16,46.66,43.83
60.41,59.42,56.18,51.73,47.76,43.89
57.97,52.89,50.33,47.53,46.03,43.91
68.18,58.81,54.66,49.87,46.90,43.96
64.45,60.39,59.42,51.68,49.55,43.98
57.33,54.23,51.71,47.67,46.20,44.00
56.22,55.17,50.84,49.07,47.59,44.00
54.98,51.94,49.92,47.85,45.76,44.02
63.53,58.99,55.12,52.70,49.63,44.08
59.08,53.35,51.32,49.33,46.66,44.29
55.74,53.06,50.78,48.29,45.76,44.29
64.45,58.47,56.15,53.22,49.22,44.30
58.34,53.10,51.96,49.21,46.98,44.33
65.71,57.49,52.11,49.94,48.36,44.36
59.11,56.93,53.42,49.35,46.70,44.44
62.26,56.98,52.52,47.95,45.73,44.47
63.20,56.21,51.11,48.11,47.52,44.50
63.44,58.42,55.04,52.47,49.45,44.51
